id,original_tweet_id,replied_date,author_id,original_author_id,screen_name,original_screen_name
991686033669488640,991678616462348288,2018-05-02 14:29:09,975074658331627522,1016063701,BayHicDe1,Umit_Burcundan
991433704575852544,991433449704747008,2018-05-01 21:46:29,847735496633536512,847735496633536512,KurdsCampaign,KurdsCampaign
991703421207154688,991694132795072512,2018-05-02 15:38:15,2481491973,897619242,cappedallday,PinnacleSports
991721349449158656,991720038041378816,2018-05-02 16:49:29,782992706616393729,235897523,StephenLandser,SomeGuyInOKC
991735282943881219,991734496272830464,2018-05-02 17:44:51,3110915034,3110915034,_fqnw,_fqnw
991738613242228738,991738077478641666,2018-05-02 17:58:05,728316429121036290,843146690957840384,fuatkav2,ArgeAmed12
868018699617406976,868017359197548544,2017-05-26 08:19:19,4764985268,4764985268,aklingozu,aklingozu
991743899788967936,991703944786149376,2018-05-02 18:19:06,823571457649184768,738153522277945344,CodeOfPatriots,dawg_lb
991722327904677888,991719623501467648,2018-05-02 16:53:22,2596413645,2903166449,carrieksada,MrEdTrain
991755298154139648,991754576457076741,2018-05-02 19:04:23,243726128,243726128,RespublicaQc,RespublicaQc
991766413063933952,991766035845013505,2018-05-02 19:48:33,819535337886191616,2320114243,TrumpieThinskin,LarryClegg1
991588605998043136,991585806337892352,2018-05-02 08:02:01,1142312972,721788853288308736,german21168,tasconalvarez
991747918095880193,991747130967588865,2018-05-02 18:35:04,4764985268,4764985268,aklingozu,aklingozu
739904334079643653,739894937165139969,2016-06-06 19:38:34,4764985268,4764985268,aklingozu,aklingozu
991773192611090433,991771749548285953,2018-05-02 20:15:30,4764985268,4658003200,aklingozu,34u8zzfM5ok9Zxw
991796880404369409,991796439008374785,2018-05-02 21:49:37,4764985268,10083862,aklingozu,Cevahir
991802799628476416,991802223762948096,2018-05-02 22:13:08,962800985180721152,962800985180721152,EskiMektepli,EskiMektepli
991803876612374528,991800273252372480,2018-05-02 22:17:25,2459717767,894032684078518278,KurdistanQendil,AdelAmini4
991806419862212608,991796913988128769,2018-05-02 22:27:32,243726128,878352770985807873,RespublicaQc,ChienTranquille
991671768862658561,991648873654386688,2018-05-02 13:32:28,963508481780322304,963508481780322304,P24DavaTakip,P24DavaTakip
991852604115357696,991851737366528000,2018-05-03 01:31:03,327610738,2177097448,savagebeast0123,Grizzly_AdamsSC
991858255747002369,991857370404810754,2018-05-03 01:53:30,98996662,1029468187,LordMolyneaux,GoyCrazy
991941694458335232,991936688984346624,2018-05-03 07:25:04,3188856912,836484016631132161,RebwarAhmad88,USConGenErbil
991967703308165120,991899806103687168,2018-05-03 09:08:24,773092873,2219191567,CemilTokpinar,ozgurkoca2000
991984739555926019,991133614938128384,2018-05-03 10:16:06,933474264317071360,933474264317071360,Ozgurmedya_Tr,Ozgurmedya_Tr
992013885396996103,991794791628394496,2018-05-03 12:11:55,2236703862,921329723380260864,ahmettiris,ahval_tr
992015131415601154,991955323031257089,2018-05-03 12:16:52,4655362155,2415353416,trkkrt352,hrnslmt
992040400092352512,992030611849302017,2018-05-03 13:57:17,700383754305589248,461146580,mehmet_hayri47,av_mkaraman
992059850791235585,992059495294611461,2018-05-03 15:14:34,819535337886191616,52544275,TrumpieThinskin,IvankaTrump
992059166901579777,991804062940172288,2018-05-03 15:11:51,326003773,763468911761293312,osimsek_herkul,maikaradeniz
992099453376098305,991807626831974400,2018-05-03 17:51:56,810217625913618432,991369146976931840,muratkilinc_77,Esmauludag_
992055216731181057,991985181597855744,2018-05-03 14:56:09,2596413645,341118458,carrieksada,EricSchmittNYT
845187280142680065,845187021937115137,2017-03-24 08:15:25,4764985268,4764985268,aklingozu,aklingozu
991417618950172672,991353700319887362,2018-05-01 20:42:34,88435040,88435040,atlas_jarreta,atlas_jarreta
992134706526289920,992134040181465092,2018-05-03 20:12:01,526110917,533540541,mehmetcheliklv,ciftler76
992114380023128064,992113519330934784,2018-05-03 18:51:15,2596413645,808152564,carrieksada,PaulLee85
704242403067170816,704242277426794496,2016-02-29 09:50:47,4764985268,4764985268,aklingozu,aklingozu
992106697345777664,992084199648542720,2018-05-03 18:20:43,287843201,41160276,PoliticalIslam,prageru
991977929415458819,991977588150210560,2018-05-03 09:49:03,346612013,346612013,Ozcan_Keles,Ozcan_Keles
989895039345184768,989893631740989441,2018-04-27 15:52:23,932234155760476160,932234155760476160,hakanasa93,hakanasa93
992025839893204993,992025584829194241,2018-05-03 12:59:25,932234155760476160,932234155760476160,hakanasa93,hakanasa93
986325236294520833,986316052085854209,2018-04-17 19:27:16,2473757377,2473757377,heceliyoruz,heceliyoruz
991878164782575616,991774530266943488,2018-05-03 03:12:37,2596413645,350166929,carrieksada,MelVogelsang
992198556394995712,992197551720943617,2018-05-04 00:25:44,2596413645,139499789,carrieksada,Fuctupmind
992211348951044096,992209589243469824,2018-05-04 01:16:34,891040315079102465,839935334343454720,Gator9191,DomitiaHonoria
992262670526042114,992262344339111937,2018-05-04 04:40:30,914534536083632128,914534536083632128,Member544916NSD,Member544916NSD
992275001792315393,992271458091974657,2018-05-04 05:29:30,2205302725,775417111296483329,MAZLUMUNFERYADI,AdaletinSafti
992165291516817408,992153433540059136,2018-05-03 22:13:33,898201032332857344,898201032332857344,Maverick4201889,Maverick4201889
992315124504444928,992309856013963264,2018-05-04 08:08:56,1493926051,897063215967895552,Irongear71,Konrever
988670845936685056,988522780370128897,2018-04-24 06:47:52,4764985268,4764985268,aklingozu,aklingozu
992294042628075520,992293701585059840,2018-05-04 06:45:10,2755430545,2755430545,DefenseUnits,DefenseUnits
992295719565385730,992294324518846464,2018-05-04 06:51:50,3855272473,3855272473,thefaceberg,thefaceberg
992296892095582208,992296725279752192,2018-05-04 06:56:29,2755430545,2755430545,DefenseUnits,DefenseUnits
992117492381310980,992078812140666880,2018-05-03 19:03:37,577483196,577483196,Sessymsay,Sessymsay
992400164601188352,992398944633327616,2018-05-04 13:46:51,3140905040,990413232522309632,Gigiwinsagain,PunishedJBP
704244068759392256,704243868682854400,2016-02-29 09:57:24,4764985268,4764985268,aklingozu,aklingozu
992207918324994048,992134651371192320,2018-05-04 01:02:56,978970601292476416,84734907,_Amazing_Lucid_,KristenClarkeJD
992417356474351616,992416897474940929,2018-05-04 14:55:10,919622839556337664,67870643,0DGMETHHAZE666,CarmenLuvanaXXX
992454505412382721,992454037743190022,2018-05-04 17:22:47,98996662,87229781,LordMolyneaux,TOOEdit
900349995395686405,900345393720020993,2017-08-23 13:32:21,4764985268,4764985268,aklingozu,aklingozu
992461216307122177,992454171193462785,2018-05-04 17:49:27,970231896,970231896,TurkishPolitico,TurkishPolitico
992463266189324289,992462256632926208,2018-05-04 17:57:36,435725661,435725661,dersi4m,dersi4m
992473685247381504,992470702761676801,2018-05-04 18:39:00,850755711441260545,850755711441260545,SerhadLordu,SerhadLordu
992480571266912257,992480250788499457,2018-05-04 19:06:22,930623344529100800,930623344529100800,Magduriyetler0,Magduriyetler0
992483583544655872,992482860463509505,2018-05-04 19:18:20,21418513,21418513,Haberdar,Haberdar
709755726311395328,709754651068014592,2016-03-15 14:58:46,4764985268,4764985268,aklingozu,aklingozu
992475265384116224,992453920734642177,2018-05-04 18:45:17,2596413645,812135885328236551,carrieksada,RealSaavedra
992453640995696646,992453597345599488,2018-05-04 17:19:21,4808618241,4808618241,blackpanzermx,blackpanzermx
992540027694575621,992535356250755073,2018-05-04 23:02:37,3344453774,980154832672776193,ac130inferno,Litaxxat
992454239577366534,992451778078756864,2018-05-04 17:21:44,98996662,897200943456014337,LordMolyneaux,TOQJoyce
992589092239048704,992588737430409216,2018-05-05 02:17:35,2177097448,327610738,Grizzly_AdamsSC,savagebeast0123
992596197415276544,992595656333234176,2018-05-05 02:45:49,2177097448,915246703967600646,Grizzly_AdamsSC,DuriavigRobert
992610235738140672,992580551138738178,2018-05-05 03:41:36,3709329729,732980827,reallyo10,ChristiChat
992472725368209410,989240111400448000,2018-05-04 18:35:11,248829087,248829087,ahamitbilici,ahamitbilici
992622579562172416,992612952929853440,2018-05-05 04:30:39,494829052,938711460183543808,ChrisSavage17,thomas_sure
