id,country
991102360733745157,TR
991691636999708672,TR
991691846731649025,TR
991692102588403713,DE
991692102588403713,FR
991433704575852544,TR
991692241004527618,TR
991692803041316865,TR
991694254278959104,TR
991697685215432704,TR
991512017667174400,DE
991476607251460096,DE
991700180813656065,DE
991558444195991552,XX
991701745293254656,XX
991703028767051777,TR
991704324773433345,RU
991704819696975872,TR
991705788602310656,TR
991431912953733121,TR
991705826359377922,TR
991706363205210112,DE
991706363205210112,FR
991705917476474881,DE
991705917476474881,FR
991706438723686403,DE
991706438723686403,FR
991707197867356160,DE
991707197867356160,FR
991708695242342402,TR
991698032214396928,TR
991709156645236736,TR
991709328611725312,TR
991710188418813954,TR
991707064283156480,DE
991707064283156480,FR
991711677384142853,DE
991711677384142853,FR
991712457528836097,TR
991712671446847494,FR
991150407463374848,TR
991713061542211584,TR
968061890344693760,FR
991713594202099713,FR
990386281288028160,FR
991714164619071488,FR
991714667960643584,DE
991714667960643584,FR
991570087474745344,DE
991716295333830658,DE
991644298209906688,DE
991644298209906688,FR
991716442113527808,DE
991716442113527808,FR
982702283459788800,DE
982702283459788800,FR
991720997140099072,DE
991720997140099072,FR
991721349449158656,DE
991722930718564352,DE
991722930718564352,FR
991723996054937601,RU
991724352595996672,DE
991724457445265408,TR
991724507772710915,DE
991724507772710915,FR
991725808006893569,TR
991726030296580096,TR
991726575560388610,TR
991693417624334342,TR
991727229876006915,TR
991358988536119296,TR
991728043566780418,TR
991728060369121280,DE
991728303613661184,DE
991729071162822656,DE
991729150879830016,DE
991729150879830016,FR
988146901173329921,RU
991730279135039489,RU
991731659073642496,TR
991689003408740352,TR
991731726169853958,TR
991732669879734272,TR
991732879590854656,DE
991732879590854656,FR
991734129501921280,DE
991734129501921280,FR
991734829963100160,DE
991735282943881219,DE
991735282943881219,FR
991735995967180802,TR
991736092452900864,DE
991736532859056128,TR
991737946326818816,DE
991738613242228738,TR
991737676507250693,TR
991740194482278400,TR
991740882322968577,TR
991741628942602241,RU
991370923524673536,TR
991742723626622976,TR
991743516375216128,DE
991743516375216128,FR
991744342657323008,TR
868018699617406976,DE
991744560735948800,DE
991744665606086656,DE
991744665606086656,FR
991710184492978177,RU
991744778856484865,RU
991649284859879424,TR
991745441535586304,TR
991745923913953280,DE
991745923913953280,FR
991746213308346368,DE
991698547769774080,TR
991746641127452672,TR
991663540900687873,DE
991747345778991106,DE
991747475768860674,DE
991747475768860674,FR
991747886823043072,TR
991748008457875456,DE
991749417760903171,DE
991749417760903171,FR
737710858709540865,DE
991749547776004097,DE
991694921806598144,DE
991694921806598144,FR
991750579553783808,DE
991750579553783808,FR
991750608951660545,TR
991722327904677888,DE
991750856415563777,DE
991751854630449152,DE
985080449755119617,DE
985080449755119617,FR
991752399915233281,DE
991752399915233281,FR
991727699344244736,DE
991753016477876224,DE
991732007859310592,TR
991753175840509952,TR
991753184241700865,TR
991753523971977218,DE
991753523971977218,FR
991753565935812609,FR
991753813362073600,DE
991753842743304195,TR
991754908104888321,DE
991754908104888321,FR
991755298154139648,FR
991755344283164672,TR
991755157447888896,TR
991755512092987392,TR
991755549812412417,TR
991756346730086405,TR
991757026203074562,DE
991758548760702976,DE
991760008357531648,DE
991760692054282240,DE
991760692054282240,FR
991760801097641984,DE
991760544557359104,TR
991761874843648000,RU
991762071980314624,TR
991759556983316482,TR
991762835347820550,TR
991431269513756672,TR
991763573541081088,TR
991763619661697024,RU
991765054134669312,DE
991765066696482816,DE
991765066696482816,FR
991013394315608064,DE
991013394315608064,FR
991765188322910208,DE
991765188322910208,FR
991686117186469889,TR
991765628745904128,TR
847219249106112517,DE
991766266267492353,DE
991766413063933952,DE
991766614390530048,DE
991766614390530048,FR
991767721678393347,DE
991767721678393347,FR
991768187267100673,DE
991768187267100673,FR
991450765154807808,TR
991768304703426560,TR
991768464070193158,DE
991769072277782529,DE
982999654202859520,XX
991770078885679104,XX
991770695469166592,DE
990631636868923400,DE
990631636868923400,FR
991771555297296384,DE
991771555297296384,FR
