id,hashtag
991241865297997824,Afrin
991723996054937601,UCLfinal
991433704575852544,1Mayıs
991433704575852544,1May
991433704575852544,MayDay
991370923524673536,Kurds
991370923524673536,Afrin
991370923524673536,Ghouta
992605111963664384,Knicks
991761874843648000,RomaLiverpool
991761874843648000,RomaLFC
991761874843648000,ROMLIV
992561276772540416,Travel
992561276772540416,Cruise
905523724732043265,SICK
991746850184224768,Rojava
991796326860902400,DefendRojava
991725587860459520,Afrin
991725587860459520,Turkey
991726590445826048,STAR
991726590445826048,Take3
991727699344244736,Trump2020
992713009893064704,IFLC2018
992728434144153600,Gandhi
992728434144153600,iflcsydney
992728434144153600,IFLC2018
991853539570868224,MAGA
991853539570868224,ThursdayThoughts
991299358388781056,SDF
992720534528868357,iflcsydney
992720052599242752,iflcsydney
992720052599242752,iflcaustralia
992720052599242752,diversity
992720052599242752,passion
992879704377036800,Turkish
992503622385614848,dog_lb
992802042883297280,Afrin
992885842099220480,NATO
992885842099220480,TurkishWarCrimes
992545680500518912,MAGA
992545680500518912,QAnon
992545680500518912,HANNITY
992554374407716865,JohnKerryTraitor
993059696184524801,Afrin
993059696184524801,Shehba
993044212756172801,YPG
992896783851323392,Koran
992885244666753024,AngelinaJolie
992885244666753024,NATO
992857896659668992,Jindirese
992857896659668992,Afrin
992917321881604096,IranDeal
992913250634354696,Demirtaş
992913250634354696,PKK
992913250634354696,YPG
992913250634354696,PYD
992913250634354696,Fetö
992913250634354696,Öcalan
992913250634354696,Gülen
992913250634354696,HDP
992913250634354696,PJAK
992913250634354696,KRG
992913250634354696,Israel
993155965133447168,DeirEzzor
993077268061786112,SDF
992770998847135745,Left
992770998847135745,SaturdayMorning
993201535831207936,Kurds
993201535831207936,ISIS
949351676976103424,VoterID
949351676976103424,VoterFraud
949351676976103424,MAGA
993153020601958401,Erdogan
993102523656474626,NATO
993102523656474626,Efrîn
992901403214516224,Erdogan
992901403214516224,dissidents
993142758696202240,Afrin
993237851709100040,NATO
993223912740749313,MICHIGAN
993223912740749313,MI
993223912740749313,America
993150897801826309,UPDATE
993238907897700358,Turkish
993238907897700358,Kurdish
993238907897700358,Buşra_Şêxo
993238907897700358,Afrin
993406735699279873,traitor
993090514089119745,htafc
993323087046299648,AlBab
993068364594663430,YPGpressOffice
993254043266011139,Raqqa
992099325902704640,ccot
992099325902704640,dog_lb
993292670901436416,americanidol
993158480570630144,SundayMorning
993018292653654017,hentaicommunity
993448862479273985,betting
993228195368521728,KarlMarx
993228195368521728,Rothschilds
993182359762690048,ElClasico
993182359762690048,BARRMA
993182359762690048,BAR
993182359762690048,RMA
993170689099206657,Afrin
993475050320945154,gangslaughter
993133257070927872,YPG
993133257070927872,Shehba
992737903330643973,hentaicommunity
992737903330643973,paizuri
993210385506488320,ThisIsAmerica
943811578062917632,resistance
993571045926817792,LeganesLevante
993571045926817792,LaLiga
993458714089852928,islam
993458714089852928,Muslim
993458714089852928,MuslimBan
993458714089852928,1stAmendment
993458714089852928,terrorism
993458714089852928,MAGA
993458714089852928,infowars
993520471705640961,EatClean
993520471705640961,Organic
993520471705640961,partner
992612181291257857,AntiWhiteHateExposed
993505427383046145,Afrin
993459525444423680,Syria
993459525444423680,NATO
993569153226235905,AskEnes
993568787952783360,SiAmoAfrin
993568787952783360,Afrin
993565509265195008,AskEnes
993565509265195008,KingOfNewYork
993229485414715392,Afrin
993444978587262976,AnnLovett
993491074403495936,SPLCexposed
993582230046887937,2ADefenders
993582230046887937,ShallNotBeInfringed
993716238189707265,MeToo
993204635736444928,RaminHosseinPanahi
993708774266466304,hizbuttahrir
993496617994080256,UN
993496617994080256,Afrin
993629048944451586,Netanyahu
993629048944451586,Iran
993629048944451586,Israel
993646950854508550,MeToo
993646950854508550,KeepAmericaGreat
993479384119042049,Afrin
993479384119042049,Kurdistan
993192166485721090,JetUp
1005269073016520704,Sunbets
1004844617827790848,Pakistan
1004844617827790848,Turkey
1004558859904733185,Casino
1004558859904733185,888Casino
1005419283646763009,HAYDOCK
1005419283646763009,RACES
1005533089433448448,Manbij
1005533089433448448,Afrin
1005533089433448448,Syria
1004920673146245120,defendeurope
1004853488814354438,goldenknights
1004853488814354438,nhl
1005567501927927808,Ukraine
1005567501927927808,Azov
1004776443954462720,Truth
1004649074291892224,Manbij
1005070751697920000,Turkey
1003587919041396736,JazeeraStorm
1002678067964403718,Ramadhan
1002678067964403718,Khilafah
1004661771490283520,WORLD
1004661771490283520,CUP
1005072641173131264,lottery
991677658361745410,Turkey
1005012222245031936,lottery
1004081028695113728,KeepAmericaGreat
1004643124650631169,betting
1005470091801133056,Manbij
1005470091801133056,ISIS
1005147007659454465,EnesKanterFoundation
1005224881833693184,Netbet
1004799629735624705,America
1004401332915015681,AmericaFirst
1004135315735445504,AmericanWomanTV
1004346032640200704,ZOG
1005510715258621954,Betonline
1004770873088323586,hdp
1004770873088323586,trt
1005273072004313088,Krauthammer
1005023135811473409,Leopardstown
1004800291768856576,SDF
1004694760899203072,NBABDAY
1004694760899203072,WhateverItTakes
1005573028447649792,EnesKanterFoundation
1004430541750300674,MyPresident
1005236382632173570,Netbet
1005564179179233280,AmericaFirst
1005564179179233280,MAGA
1004865767391858688,Ramadhan
1004674731763781632,GodsofNatureSlot
1004674731763781632,TianDiYuanSuSlot
1005578443520552961,OANN
1005578443520552961,ExtremeVetting
1005424171663405057,TurkishWarCrime
1005424171663405057,WaterWars
1005168418117464064,Chile
1005168418117464064,POLCHI
1005089825232441345,Leopardstown
1004882460465860609,ShabbirMansuri
1004680075315499008,DDay
1004680075315499008,Zionist
1004680075315499008,Europeans
1004680075315499008,JewWorldOrder
1004836520170156032,RemoveRyan
1004836520170156032,KeepAmericaGreat
1004629074122338305,Afrin
1004458737610973185,JazeeraStorm
1005527505279676416,AmericaFirst
1005752110024192000,russia
1005474842559250433,SDF
1005571785478365184,EnesKanterFoundation
1005561647711309824,DeirEzzor
919998268687437824,HeForShe
1005676721604038657,Sunbets
1003044935325667328,YPJ
1004263350799421440,YPG
1004263350799421440,JazeeraStorm
1004613371243778048,NRTnews
1004613371243778048,Turkey
1004613371243778048,Syria
1005256479820005377,2A
1005256479820005377,dog_lb
1004420916309299201,MAGA
1004420916309299201,KAG
1004420916309299201,MCGA
1004420916309299201,Trump
1004420916309299201,QAnon
1004420916309299201,VoteRed2018
1004420916309299201,Spygate
1004612424400556032,SYRIA
1004612424400556032,SDF
1004612424400556032,DeirEzzor
1004612424400556032,YPG
1004612424400556032,AFRIN
1004612424400556032,YJA_STAR
1004612424400556032,KURDISTAN
1005048041592803328,TwitterKurds
1005048041592803328,Rojava
1005048041592803328,YPG
1005048041592803328,YPJ
1005611458972078081,SummerofLebron
1005049492817825793,YPJ
1004145359151562754,MambaMentality
1005522417060601856,Ramadan
1005192494621970432,KAG
1004985735483678721,EceSevimÖztürk
1005055030871973888,Makhmur
1004671553584459776,NATO
1004671553584459776,Erdogan
1005338190952009728,NBADesktop
1005838829608165377,freetommy
1005834597920362496,SDF
1005834597920362496,DeirEzzor
1004774855856750592,Refugees
1004844941103763456,Pakistan
1004844941103763456,Turkey
1006143957494124546,Erdogan
1006143957494124546,Shingal
1006143957494124546,Sinjar
1004686415811301376,Manbij
1005562636367466502,DeirEzzor
1005562636367466502,ISIS
1006123904597929984,WORLD
1006123904597929984,CUP
1004733356985085952,PrideMonth
1004733356985085952,LGBTQ
1004733356985085952,FeminismIsCancer
1004733356985085952,Pride
1004733356985085952,whitestraightandproud
1006701480697401344,RobertDeNiro
1006342995136909313,KimJongUn
1006342995136909313,MAGA
1006342995136909313,TrumpKimSummit
1005535432589873152,Turkey
1004757222403072000,Khilafah
1005809770413150208,ArmedForces
1004367829037174784,Iran
1004367829037174784,iftar
1004367829037174784,FreeIran2018
1006431925131665408,TrumpKimSummit
1006431925131665408,KeepAmericaGreat
1006564609657049088,Casino
1006564609657049088,NetplayTV
1006426860148817921,TrumpKimSummit
1005795163506126848,عفرين
1005802931919228928,NATO
1005855598154584065,Susanna
1005854799311482881,KeepAmericaGreat
1006197423104983040,ma4t
1006946808814342145,StopExecutionOfRamin
1005925896593858564,XboxE3
1006741307291783172,1xBet
1005111827074650115,RIPAnthonyBourdain
1006527919005429760,TuesdayThoughts
1004680278927953920,SDF
1007081857404493824,FBI
1007081857404493824,IGReport
1007081857404493824,Awesome
1007081857404493824,MAGA
1004553708326158338,DefendEurope
1004763040313692161,WhiteGenocide
1005935854198644742,RaminHosseinPanahi
1005935854198644742,SosRamin
1006595560785219584,RaminHosseinPanahi
1004771259480264704,Casino
1004771259480264704,Affpower
1005576143498432512,dog_lb
1006363228543291393,Casino
1005865289156890627,hockey
1005865289156890627,playoffs
1006295498922262528,2018investecderby
1005865490454122496,Novibet
1006638889845522432,Now
1006651494941249536,EfrinAfterTurkInvasion
1006365036254846979,Matchbook
1006133866426519552,PKK
1006133866426519552,Turkey
1006133866426519552,Kurdish
1006527417408770048,NorthKorea
1006085823773757440,JazeeraStorm
1006085823773757440,SDF
897579363406757888,MSGOnlineGurukul
1006563707877543936,Pulse
1006108781082824704,betting
1006345480412938240,KeepAmericaGreat
1005722749409611776,RaminHosseinPanahi
1006110517260414977,SosRamin
1005935967516151813,SDF
1005935967516151813,DeirEzzor
1006355546017095682,TrumpKimSummit
950769855111880704,LawEnforcementAppreciationDay
1006688860708003840,FunkoE3
1005813597136670720,SundayReads
1007242505870544896,VAR
1005495509610573825,UAE
1005495509610573825,Palestine
1005950977613094912,AmericaFirst
1006992037336440832,LockThemAllUp
