id,original_tweet_id,quoted_date,author_id,original_author_id,screen_name,original_screen_name
962950877865807872,709755726311395328,2018-02-12 07:25:54,4764985268,4764985268,aklingozu,aklingozu
992504262440566784,992503768192307200,2018-05-04 20:40:30,963816710506676225,264798325,rojavaefrin1,ROJNAME_haber
992462030152974338,992402360893952000,2018-05-04 17:52:41,302111485,890891,Enes_Kanter,BleacherReport
992511325661253633,992351664827969536,2018-05-04 21:08:34,2584116900,869193235918454786,xxmari___,offensivemem3s_
992515082256093186,992470629407436801,2018-05-04 21:23:30,3375577991,618011830,macergifford,PYD_Rojava
992556892579811328,992252974075334657,2018-05-05 00:09:38,1121516594,954124423,JoseSanzPinel,AmyMek
992566241666756608,992388725245206534,2018-05-05 00:46:47,705893347488108546,869193235918454786,Ana_Tavares18,offensivemem3s_
992568552736600069,992454239577366534,2018-05-05 00:55:58,990788738853810178,98996662,YoukaiSaint,LordMolyneaux
992569850101882880,992566647008452610,2018-05-05 01:01:07,2256965582,18005085,sxdoc,MZHemingway
992274307148468225,991991597314297856,2018-05-04 05:26:45,346612013,2464786264,Ozcan_Keles,ENEZERRE_
992500671206297601,992456094726479873,2018-05-04 20:26:14,92460378,590346965,yagizefe,meral_aksener
992501155958837249,992446046365278208,2018-05-04 20:28:10,2897665331,80549263,csagir2015,t24comtr
992618098539843592,992491091436990464,2018-05-05 04:12:51,2927236667,3044781244,TercoRec,Ezidi2
