author_id,tweet_id,time_zone,utc_offset,access
443237640,992063281551441920,Pacific Time (US & Canada),-25200,2018-05-05 07:32:52
33519870,991695057060216834,Tehran,16200,2018-05-02 15:52:05
1834645674,991820237711597569,Eastern Time (US & Canada),-14400,2018-05-03 00:32:29
2410305148,991788819056857088,Eastern Time (US & Canada),-14400,2018-05-02 21:17:35
14705977,991837867214299136,Quito,-18000,2018-05-03 00:32:29
15012486,991776762349617152,Eastern Time (US & Canada),-14400,2018-05-03 04:52:37
106142153,991903331915255808,Pacific Time (US & Canada),-25200,2018-05-03 04:52:37
24990535,991870553425367041,Quito,-18000,2018-05-03 02:42:22
1225744392,991821492680830976,Central Time (US & Canada),-18000,2018-05-02 23:27:25
743823446266773504,991537265330421760,Mumbai,19800,2018-05-03 00:32:29
20180321,991788819061133313,Arizona,-25200,2018-05-02 21:17:35
700860009777729536,991799235199684608,Pacific Time (US & Canada),-25200,2018-05-03 05:57:42
2421352968,991919710705872896,Alaska,-28800,2018-05-03 05:57:42
301194811,991768837400952834,Eastern Time (US & Canada),-14400,2018-05-02 23:27:25
258283931,991605639389511680,New Delhi,19800,2018-05-02 19:07:29
161634802,991692739409424384,New Delhi,19800,2018-05-02 19:07:29
1163427092,991786191254114304,Casablanca,3600,2018-05-02 21:17:35
2230260866,991788819048554496,Amsterdam,7200,2018-05-02 21:17:35
17915334,991752685362733056,Eastern Time (US & Canada),-14400,2018-05-03 01:37:25
591202880,991854208256266244,Atlantic Time (Canada),-10800,2018-05-03 01:37:25
296201150,991767419726147584,New Delhi,19800,2018-05-03 01:37:25
944667252,988892767760912389,London,3600,2018-05-02 18:02:23
913301629285302272,992683486199844864,Pacific Time (US & Canada),-25200,2018-05-05 08:37:51
2889990199,991808028218445824,Central Time (US & Canada),-18000,2018-05-03 02:42:22
523865271,989332023037874178,Atlantic Time (Canada),-10800,2018-05-02 16:57:16
589501164,991321833457836032,Pretoria,7200,2018-05-02 16:57:16
1250577919,991723308201607168,Central Time (US & Canada),-18000,2018-05-02 16:57:16
540148535,992733707667681280,Eastern Time (US & Canada),-14400,2018-05-05 11:52:14
2794894848,991695997536559104,Pacific Time (US & Canada),-25200,2018-05-02 23:27:25
973257499666210816,991821492664053760,Pacific Time (US & Canada),-25200,2018-05-02 23:27:25
858458490049708032,991805168445460480,Pacific Time (US & Canada),-25200,2018-05-02 22:22:33
88804584,991748535568818177,Central Time (US & Canada),-18000,2018-05-02 19:07:29
352098617,991756078286344193,Quito,-18000,2018-05-02 19:07:29
1144683698,811314710264107012,Athens,10800,2018-05-05 07:32:53
589501164,991321833457836032,Pretoria,7200,2018-05-02 16:57:16
1250577919,991723308201607168,Central Time (US & Canada),-18000,2018-05-02 16:57:16
42933426,991820992375869440,Buenos Aires,-10800,2018-05-02 23:27:25
81782405,991821492689227778,Buenos Aires,-10800,2018-05-02 23:27:25
46989047,991854208260476930,Eastern Time (US & Canada),-14400,2018-05-03 01:37:25
219432943,991853805800173574,Central Time (US & Canada),-18000,2018-05-03 01:37:25
4236725352,991899002193915904,Hong Kong,28800,2018-05-03 05:57:42
3628290800,991919710668181504,Hong Kong,28800,2018-05-03 05:57:42
17607834,991805891514195968,Eastern Time (US & Canada),-14400,2018-05-02 23:27:25
36837097,991821492664053771,Eastern Time (US & Canada),-14400,2018-05-02 23:27:25
577481467,991706904287170560,Atlantic Time (Canada),-10800,2018-05-02 15:52:05
29011011,990996588532305925,Eastern Time (US & Canada),-14400,2018-05-02 16:57:16
2669983818,992668440069529601,Pacific Time (US & Canada),-25200,2018-05-05 07:32:53
934849442821259264,985597919913852928,Pacific Time (US & Canada),-25200,2018-05-02 15:52:06
934849442821259264,991706908493955072,Pacific Time (US & Canada),-25200,2018-05-02 15:52:06
80358574,992668440086417408,Eastern Time (US & Canada),-14400,2018-05-05 07:32:53
331311644,991619803180912640,Casablanca,3600,2018-05-05 07:32:53
441994716,992383403189260291,Eastern Time (US & Canada),-14400,2018-05-05 07:32:53
752627041,992668440069472257,Beijing,28800,2018-05-05 07:32:53
103652294,991727743602749440,Eastern Time (US & Canada),-14400,2018-05-02 23:27:25
41712825,991821492685025280,Eastern Time (US & Canada),-14400,2018-05-02 23:27:25
36026470,992671142346350597,Melbourne,36000,2018-05-05 09:42:31
2873763009,992701063403900928,London,3600,2018-05-05 09:42:31
9695312,991783134466269185,Eastern Time (US & Canada),-14400,2018-05-02 23:27:25
29574788,991421890047762434,Eastern Time (US & Canada),-14400,2018-05-03 05:57:42
937865170122166272,991919605336522753,Pacific Time (US & Canada),-25200,2018-05-03 05:57:42
19616818,991919710685065216,Eastern Time (US & Canada),-14400,2018-05-03 05:57:42
364993455,992726887142166528,Eastern Time (US & Canada),-14400,2018-05-05 11:52:14
374024785,992733707646767104,Eastern Time (US & Canada),-14400,2018-05-05 11:52:14
331311644,991619803180912640,Casablanca,3600,2018-05-05 07:32:53
441994716,992383403189260291,Eastern Time (US & Canada),-14400,2018-05-05 07:32:53
752627041,992668440069472257,Beijing,28800,2018-05-05 07:32:53
595406735,991805168441114624,Melbourne,36000,2018-05-02 22:22:33
2855032237,991821496854110208,Pacific Time (US & Canada),-25200,2018-05-02 23:27:26
45296097,991788819035906048,Central Time (US & Canada),-18000,2018-05-02 21:17:35
975770800174354435,991788819023351810,Pacific Time (US & Canada),-25200,2018-05-02 21:17:35
786910424239222784,991735058170953730,Pacific Time (US & Canada),-25200,2018-05-02 21:17:35
