id,original_tweet_id,retweeted_date,author_id,original_author_id,screen_name,original_screen_name
991690735232499718,991644054202081281,2018-05-02 14:47:50,3365340167,226301883,deerkibble,breesophiebree
991690735236739072,991061909209337856,2018-05-02 14:47:50,2358644395,326279407,nochillchey,excusemelee_
991690735261892608,990336559550382080,2018-05-02 14:47:50,2990386782,2439249534,DStambersky,Rain_4_Real
991690735261921280,991690358164738055,2018-05-02 14:47:50,881317355539677185,1541086118,MikeTeeter3,stopthenutjob
991690735236726786,991686017911525376,2018-05-02 14:47:50,24238030,4920959817,sachikoko,HumaneSocWestch
991690735241003015,991442376681033728,2018-05-02 14:47:50,2861378153,741705609884618752,nayshalasalle,UnversedXI
991690735261925376,990517238649176064,2018-05-02 14:47:50,987699731873775617,2479948866,ppppk05,TFBOYS_TFGlobal
991690735253630977,991605514076409858,2018-05-02 14:47:50,2289714382,3129200727,jimlemmon,Rushmoor02
991690735228456964,991686609396551680,2018-05-02 14:47:50,225456045,217323580,hrhgilbert,t_fabzy
991690735228456964,991686609396551680,2018-05-02 14:47:50,225456045,217323580,hrhgilbert,t_fabzy
991690735232708608,990625570319945730,2018-05-02 14:47:50,290048273,1606973132,CaptainEvans__,marvelskywalker
991690739422609408,968502768645238787,2018-05-02 14:47:51,955598715846197249,335141638,on_jungkook,BTS_twt
991690739443646465,991650952364134400,2018-05-02 14:47:51,887193191463649280,21211093,ModassarP,DesiPoliticks
991690739426836480,991629146815164416,2018-05-02 14:47:51,923628190379028480,372536101,faktrump9999,NatashaBertrand
991690739456229376,991306062199324672,2018-05-02 14:47:51,836107684994678785,714011887164203008,LalinthornV,taekookmoments
991690739443646466,990947537971482624,2018-05-02 14:47:51,2148578371,3185311982,homeandkiwi,NoControlProjec
991690739418615808,991400076516864000,2018-05-02 14:47:51,876800227499487232,2924909432,baastaardd,1_briannanicole
991690739435360257,991413436960706561,2018-05-02 14:47:51,2216463221,415851343,keziasarahxx,INDIEWASHERE
991690739435360257,991413436960706561,2018-05-02 14:47:51,2216463221,415851343,keziasarahxx,INDIEWASHERE
991690743616974848,991621394604613632,2018-05-02 14:47:52,792983773172281348,962369792588972033,Sinb_AJ,afiqaahpika
991690743621140480,991654379668172800,2018-05-02 14:47:52,2928332407,3389628194,maipuong,unifaix
991690743646375936,978157886781050880,2018-05-02 14:47:52,988340116765605889,974313618845057024,Sirisha48111664,OfRakul
991690743625351171,990400595818246144,2018-05-02 14:47:52,413395480,763178952844128257,TonyLRothschild,galvatron_p
991690743633862656,991513389410250752,2018-05-02 14:47:52,301995819,890891,_bdrvke,BleacherReport
991690743629733888,991690322097958918,2018-05-02 14:47:52,25658526,965645050007949312,AdultworkForum,Foxyamy92
991690743646507008,991283287023800322,2018-05-02 14:47:52,4326095956,50547938,TheSass_Cass,rachelaxler
991690743633907713,991682263099297793,2018-05-02 14:47:52,2718184811,771696786130042880,ladywolf6700,POSTEDPROPERTY
991690743650668545,991415141311877122,2018-05-02 14:47:52,241002154,394724132,selfhelp5,TopherSpiro
991690743650668545,991415141311877122,2018-05-02 14:47:52,241002154,394724132,selfhelp5,TopherSpiro
991690743650705409,991519908788781056,2018-05-02 14:47:52,2632911177,3117314104,IndiaNeriah,Drebae_
991690743612919809,991468037487452161,2018-05-02 14:47:52,173944947,414526769,elisabethaumanz,Thibowhoa
991690747823898624,989269652361494528,2018-05-02 14:47:53,885464314617798657,3283525548,sharrr_onnnn,CalebCity
991690747840811008,991630327884996610,2018-05-02 14:47:53,296729209,792973607647350784,enjoyspicy2011,PEP_Network
991690747828203520,991678882632921088,2018-05-02 14:47:53,2704859510,2557521,Dnapzz,espn
991690747832406016,990670252865413120,2018-05-02 14:47:53,780051839093989378,3334843313,poilkjh3,Stop_Trump20
991690747836583938,991685531909189632,2018-05-02 14:47:53,496497199,225605720,BigBabyJerry,ChiefChinedu
991690747836534785,991690248399794176,2018-05-02 14:47:53,441851951,25073877,bobtrobb,realDonaldTrump
991690747844980736,991674213181337602,2018-05-02 14:47:53,969864499,730121169194655748,BradSimms99,CountDankulaTV
991690747836583937,991370407503646727,2018-05-02 14:47:53,819506793885868032,453507741,Chand11211,MaryamNSharif
991690747836583937,991370407503646727,2018-05-02 14:47:53,819506793885868032,453507741,Chand11211,MaryamNSharif
991690747828203523,991502039627649024,2018-05-02 14:47:53,432970103,965347428919533568,pax_roman,WakingLifeDream
991690752034947073,991688665385570306,2018-05-02 14:47:54,4847350984,2411695442,xoxomadison___,SStandardCo
991690752030720002,989876834732068864,2018-05-02 14:47:54,914092460732588032,2362468352,sroyTayson,ClashOfLords2
991690752039178241,991393792539447296,2018-05-02 14:47:54,3239192244,548036878,malicvet31,URGENTPODR
991690752018137088,991417964313350149,2018-05-02 14:47:54,2192554122,856537429683187713,theycallmekasa,iDreamOfCece
991690752018137088,991417964313350149,2018-05-02 14:47:54,2192554122,856537429683187713,theycallmekasa,iDreamOfCece
991690752035090434,990584067107250176,2018-05-02 14:47:54,15695108,153149305,datalabcc,SBAgov
991690752005681153,991690248399794176,2018-05-02 14:47:54,4158137135,25073877,cablerant,realDonaldTrump
991690752018255872,991689269755482112,2018-05-02 14:47:54,3296535056,17051045,mohamed981226,pollock
991690752035049478,954369607653117952,2018-05-02 14:47:54,3431531824,54296186,PFLab,joepine
991690752035082243,933142878188195840,2018-05-02 14:47:54,3950633717,1434144049,sometimessyd,asapyani_
991690756199874565,991689985186238466,2018-05-02 14:47:55,430841130,3017782076,canuck2usa,Lee_Saks
991690756216700928,991643814669438976,2018-05-02 14:47:55,2294101032,897056528015818752,Iamjack_son,kettavan_Memes
991690756220846081,991479362435403776,2018-05-02 14:47:55,916642492765716480,1372029121,reidgaldric,unseenhugots
991690756212473856,991627235642695680,2018-05-02 14:47:55,810221394,35180265,Knixmyn,Dhiraagu
991690756233445376,991290360352722945,2018-05-02 14:47:55,17972741,858130549994598400,fionn,solentgreenis
991690756204064768,991633764802428928,2018-05-02 14:47:55,1315897675,957761864028401665,Nira_Aranzado,wwexol_stats
991690756225150978,991690410467708928,2018-05-02 14:47:55,2744683144,921128453251923968,jongsoftie,princewoosung
991690756221034496,991672693991788545,2018-05-02 14:47:55,292615288,296540738,jorellana14,gleesh
991690756221030401,991672075491438594,2018-05-02 14:47:55,1558422685,25073877,yunusemreluocak,realDonaldTrump
991690756221014016,991495074176520192,2018-05-02 14:47:55,2692289369,948432583226003456,nicolesanddime1,ki_venchy
991690756199976961,991418640863023105,2018-05-02 14:47:55,827166753755168768,1425363258,real_ekom,i_am_pixelhub
991690756199976961,991418640863023105,2018-05-02 14:47:55,827166753755168768,1425363258,real_ekom,i_am_pixelhub
991690756233551879,991690068158009344,2018-05-02 14:47:55,800880569487749122,22187085,MediciSusan,CREWcrew
991690760402616321,991690382760017920,2018-05-02 14:47:56,977012201419517952,986545762937942017,hheavenator,DEARESTHYUNJIN
991690760390041600,987781800457056256,2018-05-02 14:47:56,719711279594795008,340726965,saturnchloe,jennacide_
991690760394129408,991681512859779072,2018-05-02 14:47:56,962374703062007808,3238735518,Hannah_Sya,EXOVotingSquad
991690760394194944,991398738051649537,2018-05-02 14:47:56,1964828905,457902019,OTPisLoveLove,rxmansblood
991690760427900934,991386499869425664,2018-05-02 14:47:56,967828334347522049,754035951458934784,wisdomthrulife,xbasedxgoddess
991690760427892737,989525778424451072,2018-05-02 14:47:56,705551358745640960,295218901,lokofarca,VitalikButerin
991690760411144192,991681886845132801,2018-05-02 14:47:56,343154701,26257166,Park_Aj22,SportsCenter
991690760394346496,991555894956777472,2018-05-02 14:47:56,16375240,564493814,raneez,HeyDesigner
991690760402632704,991312342884462596,2018-05-02 14:47:56,121580294,2633163387,ladycatacorn,stay_chxll
991690760390107137,991687086011908096,2018-05-02 14:47:56,183985079,920979331601481728,JaeJayJetPlane,jaehyunbom_
991690760415268864,991162197379297280,2018-05-02 14:47:56,2380863694,146652559,jenbinley,BornSinner23_
991690760415268864,991162197379297280,2018-05-02 14:47:56,2380863694,146652559,jenbinley,BornSinner23_
991690764605210624,991593551443189760,2018-05-02 14:47:57,1225405868,21111883,samanthonggg,ddlovato
991690764613644289,991690436530978817,2018-05-02 14:47:57,976110648844144640,980093924852170752,xilektrxn,Blurbx_
991690764596871169,991482317771288577,2018-05-02 14:47:57,3102293500,50116466,TheEpicAbigail,friesxo
991690764588494848,991625011306815489,2018-05-02 14:47:57,78280298,785710077613252608,eve_saisod,swagkaxn_
991690764605382657,991156542324916224,2018-05-02 14:47:57,971939634295996416,618278592,kmtaemoon,ultsmx
