id,mentioned_id,mentioned_screen_name
991690358164738055,25073877,realDonaldTrump
991650952364134400,891250296512323585,siddaramaiah
991690739431096320,16331010,TMZ
991690739439624193,286432560,KortKneee_Rae
991690739443789830,220626394,owainpj
991690739443789830,927252112693751808,Timmo3578gmail1
991690739443789830,205770556,theipaper
991690743621316608,1062633452,visar_zeqiri
991682263099297793,788142895249272833,Jimmy_TheToucan
991682263099297793,736095344,WTPatty
991682263099297793,760194196175073280,Stevenf85600801
991682263099297793,2346056269,llmohr
991682263099297793,951913774977601537,IloveMartyinMS
991682263099297793,843112955411685377,AmericanInfid14
991682263099297793,817905692,okthunderkgirl
991682263099297793,891026359883100160,vincent_sable
991690747828203521,4253240716,JoeSantos316
991690747828203521,195003844,DrJaneRuby
991690747832422400,811972460560019456,republic
991690752014012416,873982045281812480,MichiChar27
991690752001536001,3270366974,mandie_czech
954369607653117952,18491178,richrelevance
991690752026599425,1494971400,Nickho_Mismo
991689985186238466,169686021,kanyewest
991290360352722945,822215679726100480,POTUS
991690756225036289,4573269972,sfernandez825
991690756229300230,4779542595,RINMichaelis
991690756229300230,832974811752067073,Queranus77
991690756229300230,896752236470169601,SocioEqualiser
991690756229300230,928080087538454528,BellDingerr
991690756229300230,814282091571642368,RationalDis
991690756229300230,20336623,cultofdusty
991690756208328704,2358086773,RetiredArnieGD
948000185916981248,30317237,gabgotti
948000185916981248,30317237,gabgotti
991690760398356480,204248106,febiolaaditya
991690760398356480,173322174,deasafierra
991690760398356480,273363162,karinaarohma
991690760398356480,1318307707,aviolitta
989525778424451072,1333467482,coindesk
991690760406884352,240260928,ritamay1
991690760406884352,3323194799,Sashainua
991690760406884352,223951506,overjas
991690760406884352,2388942100,LambersAlie
991690760406884352,4903130315,anthony77631293
991690760406884352,2352382794,Amyperuana
991690760406884352,2340552066,lagatta4739
991690760406884352,636942564,CreativeTanja
991690760406884352,501137418,Hakflak
991690764605378562,4146082816,d_nurnberg
991690764605378562,1209936918,OANN
991690764605378562,822215679726100480,POTUS
991690764584456193,204832762,DoctorDiva51
991690764584456193,2737043236,Danaleeha
991690764584456193,169686021,kanyewest
