id,media_id,type,url
991273874745675777,991273791396417536,photo,https://pbs.twimg.com/media/DcG2QuNWkAA8ESo.jpg
991273874745675777,991273814028898304,photo,https://pbs.twimg.com/media/DcG2SChW0AAT2EE.jpg
991273874745675777,991273835164037123,photo,https://pbs.twimg.com/media/DcG2TRQXcAMsrRw.jpg
991273874745675777,991273859411300352,photo,https://pbs.twimg.com/media/DcG2UrlXUAA4eEd.jpg
991101603972198400,991101577145434112,photo,https://pbs.twimg.com/media/DcEZoiIVQAA_Kt-.jpg
991662338674606080,991648521148301312,video,https://pbs.twimg.com/media/DcMLxj3XcAcSMEj.jpg
991403300485558274,991403054997147648,video,https://pbs.twimg.com/ext_tw_video_thumb/991403054997147648/pu/img/Cnu-Q5ayaW4G9gPA.jpg
991403300485558274,991403054997147648,video,https://pbs.twimg.com/ext_tw_video_thumb/991403054997147648/pu/img/Cnu-Q5ayaW4G9gPA.jpg
991429984450482176,991429961608323073,photo,https://pbs.twimg.com/media/DcJETBlX4AE5jER.jpg
991751968057167873,991751912277102593,photo,https://pbs.twimg.com/media/DcNpHBSXUAEztpD.jpg
991763115573481473,991763103170867200,photo,https://pbs.twimg.com/media/DcNzSanWsAAlS2q.jpg
991181689631264769,991181661458063361,photo,https://pbs.twimg.com/media/DcFieDcW4AE_Z33.jpg
991181689631264769,991181671297929217,photo,https://pbs.twimg.com/media/DcFieoGXUAEGcM0.jpg
991181689631264769,991181682156982272,photo,https://pbs.twimg.com/media/DcFifQjXUAA72Nq.jpg
990569987915091968,990569580241281024,video,https://pbs.twimg.com/ext_tw_video_thumb/990569580241281024/pu/img/W1E6h9Z2VH9OQsHD.jpg
991738246861348864,991738243216494592,photo,https://pbs.twimg.com/media/DcNcrYEW0AAjTT_.jpg
991738246861348864,991738243216494592,photo,https://pbs.twimg.com/media/DcNcrYEW0AAjTT_.jpg
953999113690923009,953999076155994118,photo,https://pbs.twimg.com/media/DT1JGvJUMAYvoJW.jpg
992111528244662273,992111493075341312,photo,https://pbs.twimg.com/media/DcSwJYJWkAAkUc7.jpg
992111528244662273,992111493121478656,photo,https://pbs.twimg.com/media/DcSwJYUWkAALgUn.jpg
992111528244662273,992111493079498752,photo,https://pbs.twimg.com/media/DcSwJYKWAAAWi7s.jpg
992111528244662273,992111493104766978,photo,https://pbs.twimg.com/media/DcSwJYQXkAI57mp.jpg
992668221982625792,971274412044505088,video,https://pbs.twimg.com/ext_tw_video_thumb/971274412044505088/pu/img/BlhhO6tgYVvEoaTS.jpg
