id,original_tweet_id,replied_date,author_id,original_author_id,screen_name,original_screen_name
991772339640483840,991771127386136577,2018-05-02 20:12:06,16349574,18224456,radiodrama,_ChelleShock
991788680640696322,991788553976860673,2018-05-02 21:17:02,791372448,344961707,AnnieAstreneel,Mr_Franshu
991788680636436482,991773323158679552,2018-05-02 21:17:02,18570312,4013788453,m3h2,LolaBeeswax
991788680636493824,991786473581051905,2018-05-02 21:17:02,37723196,69601582,BkBryant23,CaptainCons
992684583958253570,992683954854645762,2018-05-05 08:37:02,970142758274043905,151586600,AFAidan_,JoeDiego24
992668242953912320,992668011654823936,2018-05-05 07:32:06,2362674607,861831883067465728,joyaemon,ULTIMATERPE
992668242970796032,992667987508322304,2018-05-05 07:32:06,504155952,1336116144,Rauchelleee,JoshArgonza
991772339607089152,991772057774899200,2018-05-02 20:12:06,942248198,113817190,HomeBredPacMan,realBearzerker
991788680615550977,991787661940744193,2018-05-02 21:17:02,306679934,25666091,The_Cybermatt,jonnymorris1973
991760038233559040,991759284722716678,2018-05-02 19:23:13,263237701,184772476,cherrywend,katelambton
991772339623923714,991769343145934849,2018-05-02 20:12:06,2947612059,16041234,I_M_Ag0ste,RawStory
991772343830626304,991771577422417922,2018-05-02 20:12:07,751710788,351876400,DavidWeller7,stacygallagher1
992322028152778752,992030716547518464,2018-05-04 08:36:22,3303474477,2805981406,Red_eyed_Video,LlangattockPick
991783380424560641,991780522325049344,2018-05-02 20:55:58,312896831,312896831,schwayy,schwayy
991783380424560641,991780522325049344,2018-05-02 20:55:58,312896831,312896831,schwayy,schwayy
991772343818162176,991770499863719936,2018-05-02 20:12:07,478684400,99192543,sincerelydodie_,rustyclanton
991772343813967872,991754949468942336,2018-05-02 20:12:07,705144007148630020,1604444052,dapate8,dodo
991788680632258565,991788190532079616,2018-05-02 21:17:02,28480104,2324464350,UpNorthPandy,JayMFKay
991772343822442497,991616010125037568,2018-05-02 20:12:07,925743401164787713,928188490608775169,Th0ma5LFC,more_milf
992684588173615104,992683234973618177,2018-05-05 08:37:03,130835710,370352303,chrisdeerin,footshooter77
992668247152455680,992667987743141888,2018-05-05 07:32:07,180548361,2446803739,SoakedKnees,Misogynerd
991428880123637760,991427824677474305,2018-05-01 21:27:19,1235073600,1235073600,JackToulson12,JackToulson12
