id,country_code,name,place_type
991483357979725824,US,Grapevine,city
991772444481544192,US,Dallas,city
991772444481544192,US,Dallas,city
991500078014713856,US,Mississippi,admin
991410536440123393,US,Financial District,neighborhood
991862664581304323,US,Manhattan,city
991862664581304323,US,Manhattan,city
992668385551896577,PH,Marikina City,city
991788781312372738,GB,Kidlington,city
991732762196496387,UG,Gulu,admin
991835169173725186,US,Houston,city
991835169173725186,US,Houston,city
991788743525851139,US,Fredonia,city
991685955118686208,US,Tampa,city
991685955118686208,US,Tampa,city
992226124540198913,US,Seattle,city
991903290005733377,US,Anaheim,city
992287354931957764,US,Chino,city
991684339955052544,ZA,Johannesburg,city
989337809642295297,US,Hays,city
991114177556172802,US,Bacliff,city
991519239126290432,US,Texas,admin
991907438885527552,US,Newton,city
991728355018989568,US,UCF Reflection Pond,poi
991870532470517765,US,San Marcos,city
991848483983327233,US,Smyrna,city
991902725444128768,US,San Antonio,city
991902725444128768,US,San Antonio,city
991819238531878912,US,Kansas,admin
991516302794805249,US,Durham,city
992701034043670531,IN,Surat,city
991227107559653376,US,Los Angeles,city
992215933883052033,US,Laguna,city
991843005022617601,US,Oklahoma,admin
991821054594240512,US,Pleasant Valley,city
991821475874267136,US,Phillipsburg,city
946437851952177153,US,Louisiana,admin
991788802250297356,US,Indianapolis,city
991105294125199361,US,Bronx,city
991844887422119937,CA,Vancouver,city
991515175286136832,US,Naranja,city
991746986733985792,ZA,South Africa,country
991658657308868608,US,Houston,city
990982943463047168,US,Slippery Rock,city
991059379939168256,US,Reserve,city
991683329211715586,US,Lubbock,city
991006510695272449,US,Kissimmee,city
991706427373883392,US,Charlotte,city
991006510695272449,US,Kissimmee,city
990717512873598976,US,Marlow Heights,city
991706427373883392,US,Charlotte,city
991919698110533632,US,Houston,city
991089176769576961,US,Reno,city
991800602089938947,US,Manhattan,city
991722896434384896,GB,Islington,city
991722896434384896,GB,Islington,city
990010580315537408,US,Waco,city
990987122894036992,US,Graham,city
990753666188562432,US,Phoenix,city
991805160052568064,US,Phoenix,city
990753666188562432,US,Phoenix,city
991805160052568064,US,Phoenix,city
990411081419034624,US,University,city
991464155235344384,US,Kerman,city
991746069145968640,US,Los Angeles,city
987492868242616320,US,Los Angeles,city
991803284569645057,US,Tyler,city
991701854927994880,TH,Karon,city
991823961272016896,US,Severn,city
991661613181734912,US,Pensacola,city
991837867214299136,US,Chicago,city
855806628611936256,CA,Canada,country
991727743602749440,US,Warwick,city
992733707642388480,AU,Townsville,city
992733707646767104,US,North Carolina,admin
992701063391272960,TR,İstanbul,city
991824696776773632,US,San Antonio,city
991772490614693888,GB,Haverfordwest,city
991772490614693888,GB,Haverfordwest,city
991788819031691264,US,Ohio,admin
991769147905208320,US,West Hollywood,city
991772490635526144,US,California,admin
990958226542706688,US,Inglewood,city
991805172614598657,US,Chicago,city
991845572377133056,ID,Menteng,city
991903336105324544,US,Moreno Valley,city
991006510695272449,US,Kissimmee,city
991683306176565248,US,Collierville,city
992701071758905344,GB,Saint Clements,city
991853204391518208,US,Texas City,city
991728617368510464,US,Towson,city
992684806243848192,GB,Nottingham,city
991886919599521792,US,San Antonio,city
992717442152452101,US,Los Angeles,city
991777275086598144,US,North New Hyde Park,city
991769333775859717,US,Staten Island,city
991886919599521792,US,San Antonio,city
991860037885878278,US,Port St Lucie,city
991572588454469632,US,Texas,admin
991774597774110720,AU,Australia,country
991821505263816704,US,Glen Burnie,city
991774597774110720,AU,Australia,country
992668456871919616,GB,Leamington Spa,city
991723887040876546,US,Atlanta,city
990821869929426945,US,DuPont,city
991837883995774976,US,Vernon,city
992733720237895680,PH,Makati City,city
991723320805556226,GB,Harbury,city
991686741965836290,US,Houston,city
991428522295078913,GB,Derby,city
991093498362318848,US,El Monte,city
991120185661837314,US,Five Points,city
991772507383443456,GB,Ashton-under-Lyne,city
991772507412811776,US,Mentor-on-the-Lake,city
991093498362318848,US,El Monte,city
992733728639193088,US,Cinco Ranch,city
991854229223624704,US,Rahway,city
991903357110439936,US,Meridian,city
992708091451002880,NG,Yola,city
991407942518956032,US,Rockford,city
991788848391700480,US,Beacon,city
992594896933371904,IN,Rajasthan,admin
991821517855035392,US,Winter Haven,city
992717463128289280,GB,Finchampstead,city
991772515780431873,US,Oakland Park,city
991837896599420929,US,West Hollywood,city
991410536440123393,US,Financial District,neighborhood
991633941810458624,AU,Brisbane,city
991868813376307200,US,Glenn Dale,city
992733737027883008,ID,Kebayoran Lama,city
991919744231071744,US,Virginia,admin
991919744235130880,US,Denver,city
990754228632244224,US,Daytona Beach,city
991752548225708034,IN,New Delhi,city
991722805430538241,US,Knoxville,city
991886940608737282,NG,Ikeja,city
991868980347506688,US,Kentucky,admin
991089176769576961,US,Reno,city
991089176769576961,US,Reno,city
991533478247362561,US,Houston,city
991533478247362561,US,Houston,city
991854241785503746,US,Madison,city
991467641012457472,US,New Orleans,city
992733745403908096,US,Georgia,admin
991837435222024192,US,Murray,city
991788377501417472,US,Los Angeles,city
991788856797261824,US,Memphis,city
991421491232243712,US,North Druid Hills,city
991723337574477824,US,Manhattan,city
991739728906121216,US,Del City,city
991756116060090368,US,Surprise Stadium,poi
991696834371317761,PH,Quezon City,city
991477421634457600,US,Monroe,city
991837909165670400,US,Lajas,city
991837909165670400,US,Lajas,city
991805214565924865,US,Bakersfield,city
991706937850040322,US,San Marcos,city
991772528354836480,US,Beverly Hills,city
990010580315537408,US,Waco,city
990987122894036992,US,Graham,city
991837913355837440,US,Newark,city
992463340126507008,US,Manhattan,city
991867832680894464,IN,Punjab,admin
991772532553535488,GB,Salford,city
991854258583519232,JP,Osaka-shi Kita,city
992733757965787136,CA,Stratford,city
991700077658992640,US,Connecticut,admin
991706942023200768,US,Boise,city
991788873586966529,US,Villas,city
991788873566089217,DE,City Centre,neighborhood
991700077658992640,US,Connecticut,admin
991706942023200768,US,Boise,city
990010580315537408,US,Waco,city
990987122894036992,US,Graham,city
990439279980507136,US,Daly City,city
991891590800072704,US,Palmdale,city
326962250143371264,US,Manhattan,city
991386336149024768,GB,Derby,city
926210621238009857,,Hollywood Walk of Fame,poi
992733766383792130,GB,Yorkshire and The Humber,admin
991672643404300288,US,Florida,admin
991006510695272449,US,Kissimmee,city
991006510695272449,US,Kissimmee,city
942490599378341888,US,Dallas,city
991870616369164288,US,Lehi,city
991886965766160384,US,Philadelphia,city
991791925702352897,US,Atlanta,city
991791925702352897,US,Atlanta,city
991188619950993409,NG,Victoria Island,city
991501156345106432,US,Houston,city
991886965770473472,CA,The King Edward,poi
991753766457303042,GB,Maghull,city
991093498362318848,US,El Monte,city
991837934327345158,US,Beaumont,city
992717509261451265,GB,Plymouth,city
991837934327345158,US,Beaumont,city
991812932848816128,US,Iowa Falls,city
991854266942873600,PH,Baliwag,city
991903411615367169,CY,Cyprus,country
991702552608694273,GB,Nottingham,city
991702552608694273,GB,Nottingham,city
991532572726394880,US,Columbus,city
991886974150627328,US,Los Angeles,city
991772388646948864,US,Texas,admin
991772388646948864,US,Texas,admin
991517518866075649,US,Durham,city
991886974133747713,AE,Dubai,admin
991739758274637826,US,Tampa,city
991756145424465920,GB,Glasgow,city
991755938615836672,US,Kennewick,city
991854279542624256,US,Philadelphia,city
991837942736932864,US,Washington,city
991821563971473408,US,Texas,admin
991739762447826945,PH,Tanza,city
991772557706694656,US,McHenry,city
991788898736070659,GB,North East,admin
992717521840111616,MY,Sungai Terap,city
990721606828941313,US,Watertown,city
991756153817387009,US,Brookings,city
991821563967213569,US,Brooklyn Center,city
991768076977934337,US,St Louis,city
991733926594048000,US,Washington,city
991093498362318848,US,El Monte,city
990711175720636422,,Funrock'n,poi
991853285828018177,US,Phoenix,city
991854292125413377,US,Phoenix,city
991854292146376704,US,San Jose,city
991854292146376704,US,San Jose,city
991837951129767936,US,Fellsmere,city
991837951104516096,US,Kentucky,admin
991886986708373504,DK,Copenhagen,city
991886986708373504,DK,Copenhagen,city
991854296340803585,US,Granite City,city
991821572372656133,US,Washington,city
991706967205818369,PH,Valenzuela City,city
991886990936338432,CA,Greater Vancouver,admin
991227107559653376,US,Los Angeles,city
991395978631495680,US,Los Angeles,city
991395978631495680,US,Los Angeles,city
991533491266371585,US,Arizona,admin
991821576571105280,US,Indiana,admin
992231976919711744,SG,新加坡,country
990721606828941313,US,Watertown,city
990721606828941313,US,Watertown,city
991457630030876672,US,Brooklyn,city
991805273303060480,GB,Wellingborough,city
991805273303109633,GB,East Midlands,admin
991756174763708421,US,North Bergen,city
991339034034233344,US,Westlake,city
991339034034233344,US,Westlake,city
991705008038072320,IN,Rajendra Nagar,city
991705008038072320,IN,Rajendra Nagar,city
991854313096888320,US,Monmouth,city
991690785581084674,GB,Glasgow,city
991887011903520768,US,Troy,city
991408275534090242,US,Crossville,city
991887011878326272,US,Clovis,city
991408275534090242,US,Crossville,city
991072363193171968,US,Washington,city
989935858336886784,US,Brookhaven,city
991407040370216960,US,Texas,admin
991723221916553217,US,Summerfield,city
991827740453167104,GB,Bolton,city
992733825095659523,US,Linganore,city
991854321494122496,US,Louisville,city
991870666692485121,US,Redwood City,city
992105752721489920,ZA,Johannesburg,city
991706427373883392,US,Charlotte,city
991723400493137922,IT,Milan,city
991031280686059521,US,Houston,city
991335578644951041,US,Beaumont,city
988750200226316288,AT,Schwechat,city
991476289478406145,US,San Diego,city
991756066911240192,US,Mindful Mystic LLC,poi
991706992355041280,US,Ohio,admin
991706992355041280,US,Ohio,admin
991821601707618304,US,Georgia,admin
990088493366996992,US,New Orleans,city
990088493366996992,US,New Orleans,city
991714248156835840,US,Agoura Hills,city
991887028689162242,US,Eugene,city
989039792699662338,US,Waimalu,city
991690798164054017,ZA,Cape Town,city
991854329890926592,US,Moreno Valley,city
991854329890926592,US,Moreno Valley,city
991349956635189253,US,Crestview Hills,city
991854329895124992,US,Missouri,admin
991707000735195136,ZA,Johannesburg,city
991549381714235392,US,Colton,city
991444353435385856,US,Westfield Santa Anita Food Court,poi
991521053032693761,US,Stayton,city
991870679254528000,US,New York,admin
991531611693891584,US,Los Angeles,city
991690806565261312,US,Champaign,city
990681510150918144,US,Jackson,city
990833344467292161,PH,Quezon City,city
991723417274667008,US,Denver,city
991723417241096192,US,Memphis,city
991723417241096192,US,Memphis,city
992478455303491584,US,Florham Park,city
991852668917288961,US,Kingsville,city
991105294125199361,US,Bronx,city
991433190907752449,US,Iowa City,city
991089176769576961,US,Reno,city
991821618493186048,US,Manhattan,city
991447280845840384,US,Washington,city
991447280845840384,US,Washington,city
991690806552616960,US,Lexington,city
991690806552616960,US,Lexington,city
991879754511826944,US,New York,admin
991707009144774656,US,Reston,city
991516758698754048,US,Manhattan,city
991887045462114306,US,Maryland,admin
991717666422444033,CA,Hamilton,city
991723429823856641,US,Colleyville,city
991416402585235456,US,Tysons Corner,city
991416402585235456,US,Tysons Corner,city
991402910603993088,US,Washington,city
991690819135524865,US,Houston,city
991870700263804928,US,Brook Highland,city
991433190907752449,US,Iowa City,city
991433190907752449,US,Iowa City,city
991568592666877952,SE,Stockholm,city
992733862831771648,US,Atlanta,city
991609785735757829,PH,Ozamis City,city
991870708627181568,US,Atlanta,city
992733862831771648,US,Atlanta,city
990733772739014656,US,Texas,admin
990733772739014656,US,Texas,admin
991887062226821126,AU,Melbourne,city
